stop_name,zone_id,stop_id,stop_desc,stop_lat,stop_lon
Muthanallur Colony,33983,33983,Muthanallur Colony (Towards Samanahalli),12.83627,77.73719
Muthkur,29109,29109,Muthkur (Towards Tattanuru),12.955,77.8073
Muthkur,33985,33985,Muthkur (Towards Kalenahalli Gate),13.15547,77.50821
Muthkur,33986,33986,Muthkur (Towards Linganahalli),13.15548,77.50816
Muthkur,33987,33987,Muthkur (Towards Anugondanahalli),12.95502,77.80722
Muthkur Cross Shivakote,29111,29111,Muthkur Cross Shivakote (Towards Muthkur),13.14303,77.50222
Muthkur Cross Shivakote,31396,31396,Muthkur Cross Shivakote (Towards Shivakote),13.143,77.50225
Muthkur Cross Shivakote,33988,33988,Muthkur Cross Shivakote (Towards Ivarakandapura),13.14299,77.50221
Muthsandra,29114,29114,Muthsandra (Towards Janthagondanahalli),12.93813,77.78534
Muthsandra,33989,33989,Muthsandra (Towards Varthuru),12.93781,77.78643
Muthsandra,33990,33990,Muthsandra (Towards Bellikere),12.93784,77.78636
Muthugadahalli,29121,29121,Muthugadahalli (Towards Manganahalli),12.72525,77.4803
Muthugadahalli,33991,33991,Muthugadahalli (Towards Muthkur),12.92939,77.82062
Muthugadahalli,33992,33992,Muthugadahalli (Towards Tattanuru),12.92943,77.82055
Muthugadahalli,33993,33993,Muthugadahalli (Towards Yalahanka),13.14071,77.52596
Muthugadahalli,33994,33994,Muthugadahalli (Towards Shivakote),13.14063,77.52595
Muthugadahalli,33995,33995,Muthugadahalli (Towards Shettygere),13.18243,77.67306
Muthugadahalli,33996,33996,Muthugadahalli (Towards Kaggalahalli),12.72533,77.48031
Muthugadahalli Hostel,36459,36459,Muthugadahalli Hostel (Towards Madappanahalli),13.14906,77.53432
Muthugadahalli Hostel,36460,36460,Muthugadahalli Hostel (Towards Muttugadahalli),13.14901,77.53435
Muthukadahalli,29124,29124,Muthukadahalli (Towards Sonnebychanahalli),13.15008,77.84511
Muthukadahalli,33997,33997,Muthukadahalli (Towards Chikkanahalli),13.1825,77.67303
Muthukadahalli,33998,33998,Muthukadahalli (Towards Nagarenahalli),13.14991,77.84524
Muthurayanagudipalya,29126,29126,Muthurayanagudipalya (Towards Muthurayanagudipalya),12.84858,77.36733
Muthurayanagudipalya,33999,33999,Muthurayanagudipalya (Towards Kurubara Karenahalli),12.84862,77.36727
Muthyala Nagara Gate,29134,29134,Muthyala Nagara Gate (Towards Mathikere),13.03799,77.55348
Muthyala Nagara Gate,34002,34002,Muthyala Nagara Gate (Towards Muthyala Nagara),13.03788,77.55333
Muthyalamadu Cross,24094,24094,Muthyalamadu Cross (Towards Shanimahathma Temple),12.72005,77.69052
Muthyalamadu Cross,24215,24215,Muthyalamadu Cross (Towards Gowrenahalli),12.72004,77.69048
Muthyalanagara,39533,39533,Muthyalanagara (Towards Last Stop),13.03553,77.54882
Muthyalanagara Cross,21575,21575,Muthyalanagara Cross (Towards BEL Circle),13.04374,77.55325
Muthyalanagara Cross,21576,21576,Muthyalanagara Cross (Towards Goraguntepalya),13.04362,77.55315
Muttanahalli,29136,29136,Muttanahalli (Towards Thindlu),12.86841,77.82208
Muttanahalli,34003,34003,Muttanahalli (Towards Pandithana Agrahara),12.86896,77.82196
Muttanalluru,29139,29139,Muttanalluru (Towards MuttaNalluru Cross),12.83243,77.73456
Muttanalluru,34004,34004,Muttanalluru (Towards Samanahalli),12.83246,77.73463
Muttanalluru Cross,35122,35122,Muttanalluru Cross (Towards MuttaNalluru),12.8872,77.73836
Muttanalluru Cross,35131,35131,Muttanalluru Cross (Towards Sarjapura),12.88749,77.7384
Muttanalluru Cross,35243,35243,Muttanalluru Cross (Towards KR Market),12.88735,77.73838
Muttanalluru Gate,29143,29143,Muttanalluru Gate (Towards Narayanaghatta),12.84295,77.72754
Muttanalluru Gate,34007,34007,Muttanalluru Gate (Towards Sarjapura Main Road),12.84306,77.72747
Muttanalluru Gate,34008,34008,Muttanalluru Gate (Towards Gopasandra),12.843,77.72751
Muttanalluru Junction,34006,34006,Muttanalluru Junction (Towards MuttaNalluru Village),12.84306,77.72752
Muttarayanapura,29129,29129,Muttarayanapura (Towards Muttarayanapura),12.72386,77.51479
Muttarayanapura Cross,29131,29131,Muttarayanapura Cross (Towards Kaggalahalli),12.72574,77.51392
Muttarayanapura Cross,34001,34001,Muttarayanapura Cross (Towards Muthurayapura),12.72577,77.51392
Mutturayanaswamy Doddy,29145,29145,Mutturayanaswamy Doddy (Towards Mahanthalingapura),12.74761,77.61488
Mutturayanaswamy Doddy,34009,34009,Mutturayanaswamy Doddy (Towards Mutturayanaswamy Doddy),12.74764,77.61494
Mutturayanaswamy Temple,29148,29148,Mutturayanaswamy Temple (Towards Kaleshwari),12.76848,77.5849
Mutturayanaswamy Temple,34010,34010,Mutturayanaswamy Temple (Towards Janapriya Appartment),12.99168,77.44264
Mutturayanaswamy Temple,34011,34011,Mutturayanaswamy Temple (Towards Kadabagere Cross),12.99177,77.44268
Mutturayanaswamy Temple,35320,35320,Mutturayanaswamy Temple (Towards Ragihalli),12.76848,77.58494
Mutturu,29150,29150,Mutturu (Towards D Cross),13.28671,77.55166
Mutturu,34012,34012,Mutturu (Towards Doddaballapura Railway Station),13.28662,77.55178
Mylanahalli,29159,29159,Mylanahalli (Towards Bande Kodigehalli),13.18411,77.69597
Mylanahalli,31398,31398,Mylanahalli (Towards Mylanahalli Bare),13.13362,77.39903
Mylanahalli,34015,34015,Mylanahalli (Towards Hunasuru),13.1855,77.69695
Mylanahalli,34016,34016,Mylanahalli (Towards Bagalur),13.1855,77.69703
Mylanahalli,34018,34018,Mylanahalli (Towards Muthugadahalli),13.18408,77.69597
Mylanahalli Bare,34828,34828,Mylanahalli Bare (Towards Madhure),13.12716,77.39837
Mylanahalli Bare,34829,34829,Mylanahalli Bare (Towards Nelamangala),13.1271,77.39841
Mylanahalli Gate,29163,29163,Mylanahalli Gate (Towards Madhure),13.13262,77.40361
Mylanahalli Gate,34019,34019,Mylanahalli Gate (Towards Nelamangala),13.13258,77.40361
Mylappanahalli,29167,29167,Mylappanahalli (Towards Shamarajapura),13.13653,77.53511
Mylappanahalli,34020,34020,Mylappanahalli (Towards Mylappanahalli),13.13653,77.53506
Mylappanahalli,34021,34021,Mylappanahalli (Towards Singanayakanahalli Gate),13.13694,77.53489
Mylappanahalli,34022,34022,Mylappanahalli (Towards Muthugadahalli),13.13689,77.53488
